,BOB12371,BOB12540,BOB16124,BOB17103,BOB17481,BOB18762,BOB20101,BOB20533,BOB20722,BOB21170,BOB21321,BOB21695,BOB23664,BOB23984,BOB25183,BOB26804,BOB27302,BOB28258
NCAPD3,13.023901,20.439261,22.709881,11.678839,19.778899,16.344528,21.217469,13.604861,28.202372,18.307808,16.778865,21.686606,28.290613,19.928842,17.662669,18.202517,11.695591,15.501895
NCAPG,18.088047,5.291441,24.85171,7.262203,3.762362,3.884056,9.538709,6.637089,8.523814,24.594747,4.872199,1.992249,8.740456,14.630415,2.035653,1.217812,5.029503,17.173583
NCAPG2,20.282638,19.734864,16.12449,17.161942,11.571031,9.36246,12.52862,10.67084,16.16519,23.878993,13.882321,11.797899,14.926732,20.409541,9.129668,12.299813,12.58233,10.603652
NCAPH,9.672473,6.134331,10.739533,3.521775,2.353391,1.272753,4.740674,6.258502,3.748923,18.454106,1.128325,1.547781,4.706797,4.117322,1.49601,0.952929,5.985421,1.64725
NCAPH2,17.360098,12.429225,26.644469,20.96236,17.560836,24.204382,11.834954,10.945495,35.638561,37.411923,24.108353,15.186474,20.530096,8.735571,20.975255,23.778338,29.191416,32.427889
NCBP1,21.610677,17.795505,22.343074,21.874387,23.473882,25.761968,24.023241,18.875485,21.644034,30.281399,25.302186,20.760268,16.187257,52.391632,17.376866,19.826725,15.190699,12.428992
NCBP2,35.730161,29.426368,72.876987,32.818129,38.096628,45.046431,30.282814,33.668929,36.323917,38.88393,31.502411,27.94168,40.09716,61.205431,29.642103,29.443217,26.516932,26.920099
NCBP2-AS2,0.475109,0.511572,1.460592,1.748958,1.140014,1.893052,0.204376,1.484466,0.803145,0.985245,0.713312,2.616324,0.881147,0,0.676047,1.744128,1.71983,1.741877
NCCRP1,0,0.069791,0.048623,0.45539,0.066394,0.211137,0,0.054986,3.211001,0.088918,0,0,0.667394,0.264515,0.275452,0.221306,0.054014,0.711169
NCDN,3.185019,3.803675,11.605014,8.516863,7.619032,8.712664,7.621821,5.580572,6.129762,2.716178,12.774151,11.63719,5.075634,3.535936,12.430942,4.649674,8.137493,11.039948
NCEH1,26.361924,36.712348,2.627806,11.578419,2.700283,12.516927,3.010983,32.669528,9.479123,18.935209,5.480131,9.74926,14.085759,16.498743,5.0057,5.235552,7.664818,2.514206
NCF1,14.700833,27.808054,15.815655,16.834348,19.080472,13.409039,3.588231,14.821003,62.269755,0,0.881666,15.100976,24.570128,3.13041,22.705667,15.076496,12.084173,33.375182
NCF1B,0,11.93602,10.513876,18.757017,13.456387,9.000101,0,14.002019,17.155032,0,1.71438,7.998434,6.213309,8.731303,21.195494,6.033134,2.230797,7.524024
NCF1C,27.630584,31.406389,6.58419,5.856532,4.858317,4.425804,5.787422,10.960908,15.219811,0,1.114907,7.142473,0.618637,0,13.163699,4.32651,2.211511,7.829393
NCF2,32.551267,49.344312,6.453966,8.02604,12.707813,7.986105,7.074513,37.760835,16.41976,7.550357,6.975758,6.560799,4.599274,3.983335,7.343191,8.214683,2.419741,20.575838
NCF4,17.979057,13.864667,4.515033,10.694556,18.037882,6.35573,5.465846,31.440894,11.338369,0.527761,2.675538,11.881932,4.671617,0,9.510251,7.251408,4.33662,30.359045
NCK1,90.141383,47.439136,34.634354,26.492691,52.017628,30.816154,39.717618,39.542291,61.320678,49.282183,47.202204,23.754064,33.752905,35.051567,32.473642,47.428424,25.502981,38.138143
NCK1-AS1,0,0,0.429326,0.181495,0.280514,0.125041,0.148433,0.29366,0,0,0,0,0,0.234695,0.463493,0.078941,0,0.046839
NCK2,23.735962,25.648094,35.115992,10.682985,22.090253,20.796374,13.681047,20.944476,26.959843,1.530328,22.682219,26.865457,17.142819,25.50378,28.136715,26.083004,14.864812,33.55513
NCKAP1,100.418432,102.671209,103.176262,114.229692,93.844703,114.53888,112.590082,77.982464,78.635367,195.276076,116.073656,81.18784,110.880804,119.551157,80.55416,103.595892,87.715063,90.033728
NCKAP1L,89.452159,147.55482,13.567289,28.613494,32.884848,21.270221,33.606946,87.086129,66.038698,46.690043,5.466483,11.418698,20.27918,12.867341,20.328146,19.760389,9.349361,29.883479
NCKAP5,35.3398,23.235763,8.794956,17.567943,32.230554,19.000801,16.98768,26.419859,19.094997,5.174941,17.402287,43.511184,9.149527,18.069524,25.600597,20.868096,14.524182,20.538302
NCKAP5L,4.082055,4.623712,4.746183,4.493496,6.810353,4.502067,3.831913,8.394424,7.315432,3.823272,4.051575,5.767118,2.734839,1.655635,6.547653,5.832424,4.239288,8.443122
NCKIPSD,10.257655,4.093609,7.438485,9.022368,14.986391,10.144121,7.222947,5.162713,4.314668,22.415991,16.344743,11.712871,7.294103,22.571826,8.781084,13.719726,13.352697,19.959577
NCL,136.350536,193.25365,402.512586,230.269773,214.96709,257.907269,121.343251,213.269964,253.262513,95.137934,145.167946,224.884244,278.665497,164.0679,305.903098,251.521225,202.75936,186.865807
NCLN,2.227521,6.91553,13.17197,17.066336,14.228136,10.857909,8.371132,12.362704,6.442915,4.08896,5.545721,24.635495,12.347934,5.70936,15.267937,8.361215,5.078432,11.015573
NCMAP,0,0.033223,0.275357,0.185798,0.157808,0.502408,0,0,0.078443,0,0.027723,0.168324,0.170856,0.062994,0.548825,0.294138,0.205525,0.137805
NCOA1,56.992726,48.45057,40.562169,45.348727,59.857627,65.85837,47.814382,45.641381,42.849819,31.350875,56.474345,31.236179,47.040719,62.06498,52.815939,58.08526,28.88832,43.4044
